,13C,15N,pixel,12C13C,12C,12C15N,12C14N,C_all_ions,N_all_ions
388,0.03349857,0.01049058,89,5212,19293,3419,26942,24505,30361
389,0.03434258,0.01025972,116,5132,18530,2927,23584,23662,26511
390,0.03562697,0.01212031,104,7850,27322,5705,38911,35172,44616
391,0.03752605,0.01074282,162,11118,36738,7431,57182,47856,64613
392,0.03295671,0.01052782,125,7613,28644,5616,44098,36257,49714
393,0.03713872,0.01317254,238,18304,61114,13668,85776,79418,99444
394,0.0325776,0.01070052,44,2700,10277,2080,16069,12977,18149
395,0.03342847,0.0125966,104,6714,24905,5773,37886,31619,43659
396,0.03465732,0.01065665,177,15991,57214,10226,79326,73205,89552
397,0.03514011,0.0109852,125,10981,38749,6943,52248,49730,59191
398,0.03296501,0.01081378,108,5729,21550,3801,29057,27279,32858
399,0.03537652,0.01019987,162,6796,23821,4041,32751,30617,36792
400,0.03561663,0.01012589,154,6791,23643,4619,37709,30434,42328
401,0.03320199,0.009747747,125,7279,27185,4663,39545,34464,44208
402,0.03385832,0.01006161,200,7439,27244,5036,41376,34683,46412
403,0.0355579,0.01047524,248,12137,42325,7031,55486,54462,62517
404,0.03780388,0.01150234,116,8276,27146,5852,42058,35422,47910
405,0.03379626,0.01010041,200,11633,42682,7621,62374,54315,69995
